company_name,website_url,business_description,main_products_services,talent_values,ceo_message,crawl_success,error
범소프트,https://www.sw.or.kr,,,,,True,
베스트소프트,https://www.freeoffice.com,"베스트소프트는 오피스 소프트웨어를 개발하는 회사로, 개인 및 비즈니스 사용자를 위한 무료 오피스 스위트를 제공합니다. 이 소프트웨어는 Microsoft Office와의 호환성을 갖추고 있으며, 사용자가 문서를 쉽게 작성하고 편집할 수 있도록 돕습니다.",FreeOffice|FlexiPDF,,,True,
베스트아웃소싱,https://m.jobkorea.co.kr,,,,,True,
베스트아이씨티,https://www.nicebizinfo.com,"NICE평가정보㈜는 국내 최대 신용정보 데이터베이스를 바탕으로 개인신용정보 및 기업신용정보 서비스를 제공하는 종합신용정보회사입니다. 공공기관 및 민간기업 신용평가, 기술평가, 안전보건평가, ESG평가 등 다양한 평가 서비스를 제공합니다.",기업신용평가|NICE 지키미,열정과 도전정신을 갖춘 인재,,True,
베스티아소프트,www.vestiasoft.com,"㈜베스티아소프트는 고객과 하나가 되는 IT서비스정신으로 직원을 가장 먼저 생각하는 IT서비스 전문기업입니다. 금융분야의 전문IT기업으로 도약하기 위하여 IT컨설팅, DW, CRM 등의 정보계 구축 및 신용 및 채권사후관리를 제공합니다.",System Integration|Outsourcing Solutions|V-Collection|V-CRM,"사람을 소중히 생각하며, 지속적인 인재개발과 기술개발에 노력하고 있습니다.",㈜베스티아소프트는 고객의 기대에 최고의 가치로 보답하기 위해 차별화된 서비스와 창의력을 가지고 최선을 다할 것을 약속 드립니다.,True,
베스핀글로벌,null,null,null,null,null,True,
베이글코드,https://www.bagelcode.com,"베이글코드는 글로벌 모바일 게임 기업으로, 전 세계 사람들이 즐길 수 있는 모바일 게임을 개발하고 서비스합니다. 기술과 데이터를 활용해 최상의 게임 서비스를 위한 방법을 찾기 위해 노력하고 있습니다.",모바일 게임 개발|게임 퍼블리싱,"성장, 소통, 문제 해결",,True,
베이콘,https://www.tiktok.com,,,,,True,
벨텍소프트,https://www.belltechsoft.co.kr,,,,,False,페이지 크롤링 실패
보고정보시스템,http://www.bogois.co.kr,"보고정보시스템은 IT 개발 및 운영 분야에서 지속적인 성장을 하고 있는 SM/SI 서비스 전문기업으로, 4차 산업의 근간이 되는 빅 데이터 분야와 금융 및 통신 분야에 주력하고 있습니다.",정보시스템 개발|정보시스템 운영|4차산업 비즈니스|솔루션 비즈니스,"기술력, 성실성, 책임감을 최고 가치로 하는 기업","CEO는 고객 비즈니스 성공 실현에 기여하고, 임직원들의 자아 실현과 행복 추구에 깊은 관심을 갖고 있으며, 고객과의 약속을 책임지고 지킬 것을 다짐하고 있습니다.",True,
보람상조개발,https://www.boramsangjo.com,,,,,False,페이지 크롤링 실패
보미오라한의원,https://bomiora.com,보미오라 한의원은 체중 감량과 체질 개선을 위한 한약 처방 솔루션을 제공하는 한의원입니다. 개인 맞춤형 다이어트 및 디톡스 프로그램을 통해 건강한 내면과 외면을 동시에 챙길 수 있도록 돕습니다.,다이어트환|디톡스환,,,True,
보인정보기술,https://boinit.com,"보인정보기술은 DATA와 AI를 활용하여 디지털 포용 경험을 제공하는 기술집약형 서비스 기업입니다. 독서 장애인을 위한 전자책 접근성 저작지침 및 인증심사기준 표준화에 참여하고 있으며, 인공지능을 활용한 교육 서비스도 제공합니다.",전자책 접근성 저작지침 및 인증심사기준|인공지능 활용 초등 수학 평가문항 서비스 '짜잔수학',,,True,
부뜰정보시스템,https://www.buttle.co.kr,,,,,False,페이지 크롤링 실패
뷰노,https://www.vuno.co,"뷰노는 의료인공지능을 통해 의료진의 일상적인 워크플로우에서 새로운 경험을 제공하며, 인공지능이 융합될 수 있는 광범위한 의료 데이터를 분석하여 의료현장의 혁신을 주도합니다.",VUNO Med-Chest X-ray|VUNO Med-Fundus AI|VUNO Med-DeepCARS|VUNO Care-HATIV,,,True,
뷰런테크놀로지,https://www.vueron.com,"뷰런테크놀로지는 자율주행, ADAS, 스마트 시티를 위한 LiDAR 기반의 자율 AI 솔루션을 제공합니다. 이 회사는 실제 운영에서 작동하는 AI를 구축하여, 다양한 조건에서 인식, 결정, 예측 및 행동할 수 있도록 설계되었습니다.",Vueron Copilot™|Vueron Lookout™|Vueron X Factory™,,,True,
뷰티에이아이,aibeau.kr,"뷰티에이아이는 AI 기반의 뷰티 모델 캐스팅과 전문 사진 스튜디오 서비스를 제공합니다. 또한, 트렌디한 AI 모델과 관련된 다양한 이미지 다운로드 서비스를 제공합니다.",AI 모델 캐스팅|전문 사진 스튜디오,,,True,
브라더스비,https://www.instagram.com,,,,,True,
브라이트벨 크리에이티브그룹,https://brightbell.co.kr,"브라이트벨 크리에이티브그룹은 새로운 테크놀로지를 커뮤니케이션 환경에 활용하여 효과적인 문제 해결을 위한 크리에이티브 솔루션을 제공합니다. 고객 경험을 최적화하는 커뮤니케이션 모델을 기획하고, 스몰 데이터를 기반으로 새로운 CRM 서비스를 위한 기회를 제시합니다.",융합적 커뮤니케이션 솔루션|디지털 콘텐츠 및 고객 맞춤형 서비스,"새로운 융합을 위한 도전, 새로운 변화를 위한 도전, 창의적 도전을 즐기는 기업",,True,
브리즈,http://cafe.daum.net,,,,,True,
브릭,https://www.ibric.org,브릭은 생명과학 분야의 연구 성과를 기반으로 한 다양한 연구개발 활동을 지원하는 기업입니다. AI와 합성생물학 기술을 활용하여 혁신적인 연구 성과를 창출하고 있습니다.,AI 기반 단백질 구조 검색|합성생물학 핵심기술 개발,,,True,
브릭스트림,https://redbrick.land,브릭스트림은 AI 기반의 콘텐츠 엔진인 Redbrick을 제공하는 회사입니다. 이 플랫폼은 사용자에게 최적화된 콘텐츠 생성 솔루션을 제공합니다.,Redbrick,,,True,
브이엔티지,https://www.vntgcorp.com,VNTG는 가치 사슬 전반에 걸쳐 엔드 투 엔드 디지털 생태계를 구축하여 성장 기회를 발견하는 디지털 전환을 제공합니다. 디지털 전환은 선택이 아닌 필수입니다.,Low-code MSP|Digital Transformation,,,True,
브이젠,http://vgen.co.kr,"브이젠은 에너지 IT 전문기업으로, 가상발전소(VPP) 구축 및 다양한 자원의 최장기간 실증 경험을 바탕으로 고객맞춤 인공지능(AI) 플랫폼 서비스와 미래 에너지 산업의 혁신에 주력하고 있습니다. 또한, 친환경 분산 에너지 자원을 연결하여 깨끗한 세상을 구현하는 에너지 기업입니다.",가상발전소(VPP)|AI 기반 에너지 플랫폼 서비스,,,True,
브이티더블유,https://www.vtw.co.kr,브이티더블유는 IT 서비스 및 AI/DATA 관련 솔루션을 제공하는 기업입니다. 다양한 IT 서비스와 클라우드 솔루션을 통해 고객의 비즈니스 혁신을 지원합니다.,Total IT Service|AI/DATA IT,,,True,
블록스퀘어랩스,https://www.blocksquarelabs.com,"블록스퀘어랩스는 AI, SaaS, Web3 및 블록체인 기술을 활용하여 혁신적인 도구를 개발하고, 고객이 미래를 구축할 수 있도록 지원합니다. 우리는 엔드 투 엔드 솔루션을 제공하며, 다양한 산업에 걸쳐 맞춤형 서비스를 제공합니다.",AI 솔루션|SaaS 플랫폼,,,True,
블루비즈,http://www.blue-biz.co.kr,"㈜블루비즈는 중소기업을 위한 스마트공장 BlueFAC을 통해 혁신적인 공정개선 및 품질 향상을 지원하며, IoT 센서게이트웨이 BluePOP과 모바일 전용 MES MoFAC을 통해 운영의 효율성을 극대화합니다.",BlueFAC|BluePOP|MoFAC,,㈜블루비즈는 고객의 성공을 위해 전략적 비즈니스 동반자가 되어 함께 성장하고자 합니다.,True,
블루비트,https://www.instagram.com,,,,,True,
블루어드,https://blueward.co.kr,"블루어드는 금융, 디지털 자산, SAP를 아우르는 디지털 혁신 플랫폼 리더로, 컨설팅부터 솔루션까지 기업의 혁신 플랫폼을 설계합니다. 국내 최대의 토큰증권 시스템 구축과 SAP 파트너로서의 역량을 보유하고 있습니다.",토큰증권 시스템|SAP 서비스,,,True,
블루웨이브컨설팅,https://www.jobkorea.co.kr,,,,,True,
블루케이,http://www.thebluechemical.com,당사는 식품 포장용 플라스틱 성형용기 전문 생산 업체입니다. 고객과의 약속을 최우선으로 하여 철저한 위생과 해충 차단을 완벽히 이행하고 있습니다.,식품 포장용 플라스틱 성형용기|빙과용기,,,True,
비롯시앤엠,http://b-lot.co.kr,비롯은 온오프라인 통합 마케팅 및 크리에이티브 디지털 에이전시입니다. 다양한 경험 마케팅과 콜라보 마케팅을 통해 고객의 브랜드 가치를 높이는 서비스를 제공합니다.,온오프라인 통합 마케팅|디지털 에이전시,,,True,
비비트리,http://bbtree.co.kr,"비비트리는 창의적인 아이디어를 발상하고 실행하는 글로벌 스톡 콘텐츠 제작 및 유통 회사입니다. 우리는 Total Creative Service를 통해 언어의 한계를 넘어 사고의 관점을 넓히고, 창의적인 생각으로 내일의 가치를 만들어갑니다.",스톡 콘텐츠 서비스|Total Creative Service,,,True,
비아이매트릭스,https://www.bimatrix.co.kr,"비아이매트릭스는 AI, BI, CI 솔루션을 제공하는 전문기업으로, 기업의 데이터 분석과 업무 시스템 구축, 공급망 관리에 중점을 두고 있습니다. 검증받은 AI 기술력과 혁신적인 제품으로 대한민국의 AI 시장을 이끌고 있습니다.",TRINITY|AUD플랫폼|M4PLAN,,"비아이매트릭스는 고객에게 혁신적인 기술과 제품으로 보답할 것을 약속하며, 한국을 넘어 세계로 전진하겠다는 의지를 표현하고 있습니다.",True,
비에스비 매니지먼트,https://bizno.net,,,,,True,
비에이소프트,http://www.basoft.co.kr,,,,,True,
비엠엠,http://www.bmmkorea.com,BMMKorea는 다양한 분야에서의 전문성을 바탕으로 고객의 요구에 맞춘 솔루션을 제공합니다.,솔루션 제공|전문 서비스,,,True,
비와이엔블랙야크,https://blackyak.career.rivers.co.kr,BYN블랙야크그룹에서 진정성 있는 도전을 함께 할 여러분을 기다립니다.,,,,True,
비욘드테크,https://www.beyondtech.co.kr,"비욘드테크는 국내/외 B2B 및 교육 분야에서 다양한 서비스와 솔루션을 제공하며, Apple의 오랜 파트너로서 20년 이상 소프트웨어 개발 및 한글화 서비스를 제공합니다.",소프트웨어 개발|한글화 서비스,"창의, 열정, 효율, 신뢰","비욘드테크는 20년 이상 Apple의 파트너로서 성장해왔으며, 고객 만족을 위해 지속적인 성장과 도약을 위해 최선을 다할 것입니다.",True,
비인텍,https://www.beintech.co.kr,,,,,False,페이지 크롤링 실패
비자림,http://bijagot.com,제주 비자곶 펜션(비자림점)은 비자림숲에 자리하고 있어 힐링과 편안함을 제공합니다. 자연석돌로 지어진 외관은 제주에서만 볼 수 있는 돌집으로 제주스러움이 더욱 돋보입니다.,힐링펜션|개별바베큐,,,True,
비전스페이스,https://visionspace.co.kr,"비전스페이스는 세상의 모든 공간에 비전을 만듭니다. 디지털 트윈 기술로 제조 산업의 혁신을 만들며, 자동화 물류센터와 공장에 버추얼 시뮬레이터를 제공하여 실시간으로 모니터링할 수 있습니다.",디지털트윈 기술|버추얼 시뮬레이터,,,True,
비주얼래보러토리,https://www.jobplanet.co.kr,,,,,True,
비쥬웍스,www.visuworks.co.kr,비쥬웍스는 AI를 통한 맞춤형 시력교정술 고도화와 눈을 통한 전신 건강 예측 토탈솔루션을 지향합니다. 50만 안의 신뢰도 높은 빅데이터를 기반으로 다양한 안과 솔루션을 제공합니다.,VISION 시술 최적화 프로그램|IOL 렌즈사이징 프로그램|MyOPIA 근시 예측 프로그램|FUNDUS 안저사진 질환 예측 프로그램,,,True,
비즈비,https://www.bizbee.co.kr,"비즈비는 다양한 IT 솔루션을 제공하는 기업으로, ERP, 세무, 그룹웨어 등 통합 관리 시스템을 통해 고객의 비즈니스 효율성을 높이는 데 기여하고 있습니다.",bizbee ERP|bizbee Tax,,,True,
비츠로넥스트,https://www.jobkorea.co.kr,,,,,True,
비케이브,https://www.barrels.co.kr,"비케이브는 다양한 패션 브랜드를 운영하며 소비자의 삶을 풍요롭게 하는 것을 목표로 하고 있습니다. 브랜드 문화와 윤리경영을 중시하며, 인재 채용을 통해 지속적인 성장을 추구합니다.",패션 브랜드 운영|의류 디자인,패션을 사랑하는 뜨거운 마음을 보유한 인재,,True,
비투넷,https://www.instagram.com,,,,,True,
비트컴퓨터,https://www.bit.kr,,,,,False,페이지 크롤링 실패
비피엠지,https://www.bpmg.io,,,,,True,
빅게임스튜디오,https://www.vicgamestudios.com,"주식회사 빅게임스튜디오(VIC GAME STUDIOS)는 2020년 10월에 설립한 게임 개발사로 세계 최고 수준의 애니메이션 스타일 RPG를 개발하는 개발사입니다. 수준 높은 그래픽과 기술력을 바탕으로 트렌디한 RPG 경험을 제공하기 위해 노력하고 있으며, 재미를 넘어 독창적인 스토리텔링을 통해 감동을 선사하는 작품을 창작하고자 합니다.",용사형에 처함 -Game of the GODDESS-|블랙클로버 모바일,,,True,
사운드마인드,https://www.facebook.com,,,,,False,페이지 크롤링 실패
삼성에이엑스아이,https://www.jobkorea.co.kr,,,,,True,
삼양문화,https://www.samyangmunhwa.com,"삼양문화는 교육 관련 제품과 서비스를 제공하는 회사로, 진로 진단 및 교육 자료를 중심으로 다양한 학습 도구를 개발하고 있습니다.",진로진단포스터 액자 세트|영화로 떠나는 진로여행,,,True,
상상스토리,https://www.sangs.co.kr,"상상스토리는 에듀테크 분야에서 창의적 인재 양성을 위한 다양한 교육 유형과 혁신적인 기술을 융합하여 새로운 교육의 가치를 제공합니다. 또한, IT 프로젝트의 성공적인 구축과 운영을 통해 고객의 가치를 극대화하는 데 기여하고 있습니다.",SS-LMS|SS-COLLECTOR|SS-META|SS-DQ|SS-ML,,상상스토리는 경쟁력 있는 솔루션과 콘텐츠로 보다 새로운 IT PLATFORM을 제공하여 고객가치를 지속적으로 창출하겠습니다.,True,
새롬씨앤씨,https://www.youtube.com,,,,,True,
새하컴즈,https://www.saeha.com,"새하컴즈는 화상회의, 화상교육, 화상상담 등 다양한 화상 커뮤니케이션 솔루션을 제공하는 전문기업입니다. 차별화된 품질과 서비스로 고객 맞춤형 최적화 서비스를 제공합니다.",화상회의 솔루션|화상교육 솔루션,,,True,
샌드박스,http://wwww.facepunch.com,,,,,False,페이지 크롤링 실패
서우컴퍼니,http://seowoocompany.com,,,,,True,
서울유니에듀,https://www.jobkorea.co.kr,,,,,True,
서원정보,https://seowoninfo.com,"서원정보는 IT 그 이상의 가치를 만드는 솔루션 기업으로, 비즈니스 미래를 연결하는 첨단 플랫폼 기술력으로 디지털 전환을 선도합니다. 클라우드 네이티브 기반의 PaaS 솔루션과 다양한 데이터 분석 플랫폼을 통해 고객의 요구에 맞춘 혁신적인 서비스를 제공합니다.",CubeX|Conne-X|QualiX|UxHub|LCMS|3D Visualization,,,True,
서인시스템,http://www.seoinsys.com,서인시스템은 시스템 통합(SI) 및 소프트웨어 개발을 전문으로 하는 IT 기업입니다. 고객의 요구에 맞춘 맞춤형 솔루션을 제공하여 비즈니스의 효율성을 높이는 데 기여하고 있습니다.,시스템 통합(SI)|소프트웨어 개발,,,True,
선시안 SUNCYAN Inc.,https://www.suncyan.com,"선시안은 배구 게임 '더 스파이크 크로스'를 개발하여 창립하였으며, 스포츠와 스토리를 담은 게임으로 자체 IP를 구축하여 스포츠의 감동을 전하는 게임 체인저가 되겠다는 목표를 가지고 있습니다.",더 스파이크 크로스|더 스파이크,,,True,
성우정보,https://school.busanedu.net,,,,,False,페이지 크롤링 실패
성진하이텍,http://www.sjhitec.com,,,,,True,
세계실업㈜,https://www.worlde.co.kr,"안전환경장비 전문기업으로 고객의 요구에 충족하는 최고의 제품을 공급하고, 고객맞춤형 서비스를 제공하여 장기적인 신뢰관계를 유지하고 있습니다. 산업현장의 안전과 깨끗한 환경조성을 위한 솔루션을 제안합니다.",청소장비|안전장비,,,True,
세송 아이티,https://www.saramin.co.kr,,,,,True,
세아상역,https://www.sae-a.com,"세아상역은 고품질 의류를 생산하고 수출하는 글로벌 의류 제조업체로, 10개국에 있는 현지 생산 자회사를 통해 50개 이상의 고객에게 공급하고 있습니다. 지속 가능한 관행을 통해 환경 친화적인 생산을 지향하며, 지역 사회에 기여하는 다양한 이니셔티브를 추진하고 있습니다.",의류 제조|의류 수출,"고객 중심 관리, 지속 가능한 성장, 혁신과 기술 발전",,True,
세움웹,https://seumweb.com,"세움웹은 디지털 웹 에이전시로써 기획, 컨설팅, 디자인, 개발을 제공하며, 최적의 서비스를 통해 비즈니스 성공의 발판이 되어드립니다.",E/M Commerce 개발|브랜드 리뉴얼,사용자 중심적인 사고와 체계적인 분석을 통해 이성적으로 판단하여 설계하는 인재,"세움웹은 지속적인 연구를 통해 최적의 서비스를 제공하며, 비즈니스 성공의 발판이 되어드립니다.",True,
세인티,https://sainti.co.kr,"세인티는 현장을 정확하게 이해하고 분석하여 효과적인 디지털 전환을 위한 솔루션 및 컨설팅 서비스를 제공합니다. 스마트 공장 전환을 위한 다양한 솔루션을 제공하며, AI 및 IoT 기술을 활용한 데이터 수집 및 분석 서비스를 제공합니다.",스마트공장 MES|AI Chatbot,,,True,
세중,http://www.sejoong.com,"세중은 여행사업, S&C사업, PLM사업 등 다양한 분야에서 서비스를 제공하는 기업입니다. 기업출장, BTMS, 기업연수 등 다양한 솔루션을 통해 고객의 요구에 맞춘 서비스를 제공합니다.",여행사업|S&C사업|PLM사업,,,True,
세틀원,https://m.jobkorea.co.kr,,,,,True,
셀빅,https://cellbig.com,"셀빅은 AI를 중심으로 경험의 방식을 다시 생각하며, 교육, 게임, 스포츠, 훈련, 의료 등 다양한 분야의 체감형 콘텐츠를 제작하는 글로벌 기업입니다. AI, AR, 프로젝션 매핑 등 다양한 기술과 창의적인 아이디어를 결합하여 새로운 경험을 제공합니다.",AI 경험 고도화 솔루션|체험형 전시 콘텐츠,"Be Curious, Be Creative, Be Confident",,True,
셈웨어,https://www.cemware.com,,,,,True,
셋시큐리티,http://datachallenge.kr,셋시큐리티는 K-사이버 시큐리티 챌린지를 통해 자동차 해킹 공격/방어 및 게임봇 탐지와 관련된 정보를 제공하고 있습니다. 이 대회는 사이버 보안 분야의 기술과 지식을 공유하는 플랫폼입니다.,자동차 해킹 공격/방어 대회|게임봇 탐지 대회,,,True,
소리튠,https://www.soritunenglish.com,소리튠은 영어를 소리 단위로 배우는 혁신적인 영어 학습 프로그램을 제공합니다. 다양한 연령대와 직장인을 위한 맞춤형 수업을 통해 영어 듣기와 말하기 능력을 극대화하는 데 중점을 두고 있습니다.,소리튜닝|소리블록,,,True,
소울엑스,https://soulx.co.kr,,,,,True,
소프트닉스,https://corp.softnyx.co.kr,"Softnyx는 게임을 통해 세계를 연결하는 글로벌 선도 기업입니다. 우리는 다른 게임들과 차별화된 게임을 전 세계에 선보이며, 엔터테인먼트를 제공합니다.",LOVE RITMO|KING DOM STORY|WOLF TEAM|WAR STORY|RAKION|GUN BOUND|OP7,"창의적 사고에 도전하는 인재를 찾고 있으며, 팀워크를 중요시합니다.",,True,
소프트베이스,https://www.softbase.co.kr,"소프트베이스는 UI(user Interface) 개발툴 솔루션 전문 업체로, 다양한 금융권 및 제조, 공공 분야에 솔루션을 제공합니다. 끊임없는 기술 개발을 통해 최고의 솔루션 업체가 되기 위해 노력하고 있습니다.",xFrame5|xFrame5@QM|xFrame5@Mobile,,,True,
소프트파워,http://www.soft-power.com,,,,,True,
솔비트,https://solbit.kr,"㈜솔비트는 임상시험 및 의료정보시스템을 핵심 분야로 시장에서 인정받은 검증된 솔루션들을 공급하고 관련 기술 컨설팅 및 구축 사업을 수행하는 정보기술 강소기업을 지향합니다. 특히 다년간 축적된 경험을 바탕으로 e-IRB, e-CRF, CTMS 등 고품질의 검증된 임상시험통합관리 시스템들을 제공하고 있습니다.",e-IRB|e-CRF|CTMS|의료 빅데이터 및 인공지능,,"“건강하고 안전한 세상을 만드는 기업” 이라는 경영 이념으로 출범한 주식회사 솔비트는 세상을 밝히고 사회에 기여할 수 있는 기업, 직원이 함께 행복한 회사를 목표로 매진하고 있습니다.",True,
솔텍아이앤에스,https://bizno.net,,,,,True,
솔트레이,https://soltray.co.kr,"솔트레이는 다양한 경험과 노하우를 기반으로 고객의 성공적인 DX/AX를 지원하며, 금융, 커머스, 클라우드, DB 분야에서 20년 이상의 전문가로 구성된 Total Solution 전문 회사입니다.",금융 솔루션|이커머스 솔루션|데이터 솔루션|클라우드 솔루션,,,True,
송아리아이티,null,null,null,null,null,True,
수커뮤니케이션,www.susucomm.co.kr,수커뮤니케이션은 AD Network Platform 및 콘텐츠를 제공하는 기업입니다. 다양한 광고 솔루션을 통해 고객의 요구를 충족시키고 있습니다.,AD Network Platform|콘텐츠,,,True,
수펙스테크놀러지,https://www.jobkorea.co.kr,,,,,True,
슈퍼센트,https://supercent.io,슈퍼센트는 AI를 활용하여 게임과 콘텐츠의 미래를 형성하는 글로벌 콘텐츠 기술 기업입니다. 우리는 창의적인 실험과 기술 기반 실행을 결합하여 사용자에게 더 나은 콘텐츠를 제공합니다.,XP Hero|Pizza Ready,"우리는 실패를 두려워하지 않고, 빠른 실험과 학습을 통해 성장합니다. 창의적으로 사고하고, 한 가지 답에 집착하지 않으며, 아이디어를 행동으로 전환합니다.",우리는 작은 즐거움이 일상 생활을 더 행복하게 만든다고 믿습니다. 빠르게 변화하는 세상에서 특별한 기쁨을 창출합니다.,True,
슈퍼스타트,https://superstart.co.kr,"슈퍼스타트는 최신 IT 기술을 융합한 스마트시티 기술과 다양한 경험을 기반으로 체계화된 Cloud/On-Prem 시스템 통합 SI 서비스를 제공합니다. 고객의 니즈에 맞춘 최상의 SI 솔루션을 제공하며, 안정적이고 유연한 프로젝트 운영 및 서비스를 지향합니다.",IT 기술 및 SI 서비스|스마트시티 솔루션,"전문 역량, 기술, 경험을 갖춘 핵심인력",,True,
슈퍼플래닛,https://www.superplanet.net,,,,,False,페이지 크롤링 실패
스냅컴퍼니,https://snapcompany.net,"스냅컴퍼니는 AI 기반의 이커머스 및 마케팅 솔루션을 제공하는 기업으로, 고객과 쇼핑몰 모두에게 편리한 솔루션을 제공합니다. 다양한 고객 타겟팅과 상품 추천 엔진을 통해 매출 향상을 도모합니다.",스냅푸시|스냅리뷰|스냅비|스냅큐|스냅알|스냅핏,,,True,
스노우온카드,https://m.jobkorea.co.kr,,,,,True,
스데반정보,https://www.jobkorea.co.kr,,,,,True,
스마일드래곤,https://www.smiledragon.co.kr,"스마일드래곤은 모바일 및 융합 분야의 선도 기업으로, 창의성에서 출발하여 다양한 제품과 서비스를 제공합니다.",모바일 솔루션|융합 기술,,,True,
스마트이,https://www.jobplanet.co.kr,,,,,True,
스캐터엑스,https://scatterx.co.kr,,,,,True,
스타랩스,https://www.starlabs.co.kr,"스타랩스는 클라우드 기반 IT 서비스를 제공하며, 고객이 비즈니스에 집중할 수 있도록 컨설팅부터 서비스 개발, 클라우드 전환 및 운영 개발 지원을 합니다. 또한, 메타버스 B2B 맞춤형 제작과 GPU 서버 공급 및 견적 서비스를 제공합니다.",GPU 서버 공급|메타버스 제작,,스타랩스의 CEO 이준호는 클라우드 전문 기업으로서 고객이 비즈니스에 집중할 수 있도록 최상의 ICT 서비스를 제공하겠다는 의지를 전했습니다.,True,
스테인온,http://www.junsoohan.com,스테인온은 금속 인테리어 및 스텐 인테리어를 전문으로 하는 회사입니다. 준수한 NATURAL STAIN DESIGN을 통해 고객의 니즈에 맞춘 디자인을 제공합니다.,금속 인테리어|스텐 인테리어,,,True,
스토리앤미디어,https://storyn.kr,"스토리앤미디어는 대한민국 1등 숏폼 대행사로, 숏폼 커머스와 라이브커머스 광고를 전문으로 합니다. 다양한 체험단 캠페인을 통해 고객과의 소통을 강화하고 있습니다.",숏폼 커머스|라이브커머스 광고,,,True,
스페이드컴퍼니,https://spadecompany.kr,"스페이드컴퍼니는 2011년 설립 이래, 디지털 환경 속에서 끊임없이 새로운 가치를 창조해 온 크리에이티브 그룹입니다. UX 디자인, 모션그래픽, 3D 그래픽, 디지털 애플리케이션, 웹 플랫폼 등 다양한 매체를 기반으로, 사용자와 브랜드가 깊이 연결되는 경험을 만들어 갑니다.",UX 디자인|모션그래픽|3D 그래픽|디지털 애플리케이션|웹 플랫폼,,,True,
스프링컴즈,http://www.spcomes.com/,"스프링컴즈는 모바일게임을 개발 및 서비스하는 회사로, 캐주얼 및 퍼즐, RPG 등 약 30종의 게임앱을 서비스하고 있으며 누적 3억 다운로드를 기록하고 있습니다. 글로벌 모바일게임의 선두를 지향하며 지속적인 노력을 하고 있습니다.",머지스위츠|킹덤워즈|쥬얼스템플|후르츠포레스트|어비스,창의적이고 인품이 좋은 인재,,True,
시계거래소,http://www.watchexchange.co.kr,"시계거래소는 대한민국 No.1 시계거래 플랫폼으로, 25만 회원이 선택한 거래 만족도가 98.7%에 달합니다. 무료 정품 감정 및 전문 거래 도슨트 서비스를 제공하며, 다양한 매장에서 위탁 상품 거래를 지원합니다.",시계 거래 플랫폼|정품 감정 서비스,,,True,
시너지시스템즈,www.synergysystems.co.kr,시너지시스템즈는 스마트팩토리 전문기업으로 자체 개발한 ERP/MES/자금관리/원가관리/그룹웨어 등을 시너지그룹 계열사 및 국내외 300여 고객에 공급하고 있습니다. 다양한 분야의 서비스를 제공하기 위해 노력하고 있습니다.,ERP|MES|그룹웨어|스마트팩토리 지원사업|컨설팅 서비스,열정과 패기가 넘기는 젊은 인재를 모십니다.,최고의 솔루션으로 최고의 가치를 창출하는 스마트팩토리 전문기업입니다.,True,
시루정보,https://www.seeroo.co.kr,"시루정보는 결제, 인증기술을 보유한 금융테크놀로지 솔루션 개발 전문기업입니다. 결제/인증 기술을 기반으로 다양한 금융 프로젝트를 통해 성장하였으며, SI솔루션 개발 전문 기업으로 발전하고 있습니다.",모바일 결제|모바일 인증,,,True,
시선아이티,http://www.seesunit.com,"상상을 현실세계로 연결하기 위해 끊임없이 도전하는 기업으로, GIS 공간정보 플랫폼, 재해/재난 분야 시스템, 국토현황추출, GIS 엔진 및 공간정보 구축을 주요 사업으로 하고 있습니다.",GIS 공간정보 플랫폼|영상 AI 분석서비스,"당신의 삶을 변화 시키고, (주)시선아이티를 세계 최고의 IT기업으로 만들어 갈 역량있는 인재들",,True,
시스템노바,https://www.instagram.com,,,,,True,
시스포유,https://www.sysforu.co.kr,전문성 있는 기업 시스포유는 끊임 없이 노력하고 발전하는 기술력으로 고객의 성공을 위한 스마트 전시회 솔루션을 제공해 드리겠습니다.,전시회 솔루션|모바일 솔루션,,,True,
시엔에스정보기술,https://www.semcns.com,"샘씨엔에스는 Probe Card용 세라믹 기판 분야의 기술선도기업을 지향하며, 전 임직원이 세계최고를 지향하여 글로벌 경제환경에 대응할 수 있는 체제를 갖추어 나아갈 것입니다.",Probe Card용 세라믹 기판|특수 목적 제품,사람이 미래인 밝은 기업,,True,
시큐아이,https://www.secui.com,,,,,True,
시프트원,https://shiftone.kr,SHIFTONE은 디지털 제품 및 AI 엔지니어링을 전문으로 하는 회사입니다. 혁신적인 기술을 통해 고객의 요구를 충족시키는 솔루션을 제공합니다.,디지털 제품|AI 엔지니어링,,,True,
신보,https://www.shinbonet.com,"신보는 전기, 소방, 정보통신, 해외 분야에서 활약하고 있으며, 인류의 행복한 생활환경 창조를 위해 끊임없이 노력합니다.",전기공사|소방전기,신보의 가장 큰 자산은 인재입니다.,인류의 행복한 생활을 위해서 노력하겠습니다.,True,
신선고 주식회사,https://sinsungo.co.kr,신선고는 LG전자 사내벤처 스핀오프 기업으로 LG전자 냉장고와 에어컨의 기술력을 활용한 최고의 쿨링 솔루션을 제공합니다. 개별 냉각 솔루션을 통해 에너지 절감과 탄소 감축을 실현하여 지속 가능한 미래를 만듭니다.,개별 냉각 솔루션|콜드체인 솔루션,,,True,
신세계까사,https://www.instagram.com,,,,,True,
